"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jabar Triplett","Southern Lab (Baton Rouge, LA)","6-0",215,82,NA,137,84,"LA","OLB",2020,"arizona","Commit",2
"Woody Jean","Deerfield Beach (Deerfield Beach, FL)","6-4",287,82,NA,150,239,"FL","OT",2020,"arizona","Commit",2
"Stacey Marshall Jr.","Hutchinson C.C. (Hutchinson, KS)","6-5",255,79,NA,18,71,"KS","TE",2020,"arizona","Commit",1
"Ugo Nosike","Thornwood (South Holland, IL)","6-3",255,74,NA,242,90,"IL","DT",2020,"arizona","Commit",2
"Tyler Loop","Lovejoy (Lucas, TX)","6-0",160,74,NA,22,392,"TX","K",2020,"arizona","Commit",2
"Aaron Blackwell",NA,"6-3",298,78,NA,NA,NA,NA,"DT",2020,"arizona","Transfer",1
"Brenden Schooler",NA,"6-2",190,83,NA,NA,NA,NA,"WR",2020,"arizona","Transfer",5
"James Bohls","San Clemente (San Clemente, CA)","6-0",195,88,NA,35,50,"CA","RB",2021,"arizona","Commit",1
"Javione Carr","Sam Houston (Arlington, TX)","6-0",170,86,NA,70,140,"TX","CB",2021,"arizona","Commit",2
"DJ Fryar","Steilacoom (Steilacoom, WA)","6-3",210,86,NA,88,14,"WA","LB",2021,"arizona","Commit",2
"Jackson Bailey","Red Oak (Red Oak, TX)","6-1",220,85,NA,124,181,"TX","LB",2021,"arizona","Commit",3
"Kolbe Cage","Holy Cross (New Orleans, LA)","6-0",205,85,NA,125,41,"LA","LB",2021,"arizona","Commit",3
"Kevon Garcia","Dekaney (Houston, TX)","6-2",215,85,NA,73,194,"TX","Edge",2021,"arizona","Commit",3
"Colby Powers","Klein Collins (Spring, TX)","6-4",235,84,NA,67,202,"TX","TE",2021,"arizona","Commit",4
"Dalton Johnson","Katy (Katy, TX)","5-10",180,84,NA,124,224,"TX","S",2021,"arizona","Commit",4
"Alex Navarro-Silva","Riverside C.C. (Riverside, CA)","6-5",290,84,47,11,6,"CA","DL",2021,"arizona","Commit",4
"JT Hand","Mission Viejo (Mission Viejo, CA)","6-3",285,83,NA,91,142,"CA","IOL",2021,"arizona","Commit",4
"Matthew Weerts","Batavia (Batavia, IL)","6-2",217,83,NA,185,35,"IL","LB",2021,"arizona","Commit",4
"Logan Kraut","Maria Carrillo (Santa Rosa, CA)","6-2",190,83,NA,148,171,"CA","ATH",2021,"arizona","Commit",4
"Stevie Rocker Jr.","Canyon Del Oro (Tucson, AZ)","6-0",185,83,NA,118,23,"AZ","RB",2021,"arizona","Commit",4
"Isaiah Taylor","St. Thomas Aquinas (Fort Lauderdale, FL)","5-11",195,82,NA,176,279,"FL","S",2021,"arizona","Commit",2
"Anthony Simpson","Trinity-Pawling School (PREP) (Pawling, NY)","5-10",180,81,11,2,1,"NY","ATH",2021,"arizona","Commit",4
"Luke Eckardt","Richmond-Burton (Richmond, IL)","6-7",265,80,NA,196,59,"IL","OT",2021,"arizona","Commit",4
"Evan Branch-Haynes","Sacred Heart Cathedral Prep (San Francisco, CA)","6-2",270,80,NA,265,274,"CA","DL",2021,"arizona","Commit",4
"Jakelyn Morgan","Tyler Legacy (Tyler, TX)","6-1",175,78,NA,265,408,"TX","CB",2021,"arizona","Commit",1
"Treshaun Hayward",NA,"6-1",210,84,NA,NA,NA,NA,"LB",2021,"arizona","Transfer",4
"Rashie Hodge",NA,"6-0",195,80,NA,NA,NA,NA,"LB",2021,"arizona","Transfer",4
"Jordan McCloud",NA,"6-0",193,80,NA,NA,NA,NA,"QB",2021,"arizona","Transfer",4
"Isaiah Rutherford",NA,"6-0",192,81,NA,NA,NA,NA,"CB",2021,"arizona","Transfer",4
"Jason Harris",NA,"6-7",220,81,NA,NA,NA,NA,"WDE",2021,"arizona","Transfer",4
"Drake Anderson",NA,"5-11",180,81,NA,NA,NA,NA,"RB",2021,"arizona","Transfer",4
"Gunner Maldonado",NA,"5-11",180,82,NA,NA,NA,NA,"S",2021,"arizona","Transfer",2
"Tetairoa McMillan","Servite (Anaheim, CA)","6-4",185,97,37,4,3,"CA","WR",2022,"arizona","Commit",1
"Rayshon Luke","St. John Bosco (Bellflower, CA)","5-8",175,93,201,17,15,"CA","RB",2022,"arizona","Commit",1
"Keyan Burnett","Servite (Anaheim, CA)","6-4",225,92,232,6,20,"CA","ATH",2022,"arizona","Commit",2
"Ephesians Prysock","Bishop Alemany (Mission Hills, CA)","6-3",170,90,NA,32,23,"CA","S",2022,"arizona","Commit",3
"Sterling Lane II","Oaks Christian (Westlake Village, CA)","6-4",235,90,NA,41,29,"CA","LB",2022,"arizona","Commit",3
"Kevin Green Jr.","Bishop Alemany (Mission Hills, CA)","5-11",165,90,NA,58,33,"CA","WR",2022,"arizona","Commit",3
"Jonah Coleman","Lincoln (Stockton, CA)","5-9",205,89,NA,36,40,"CA","RB",2022,"arizona","Commit",2
