"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Chidozie Nwankwo","Foster (Richmond, TX)","5-11.5",284,86,NA,80,130,"TX","DT",2020,"houston","Commit",4
"Art Green","Hutchinson C.C. (Hutchinson, KS)","6-2",200,86,60,9,14,"KS","CB",2020,"houston","Commit",4
"Stacy Sneed","Mansfield Timberview (Arlington, TX)","5-11",175,85,NA,73,151,"TX","RB",2020,"houston","Commit",2
"Sedrick Williams","Kilgore College (Kilgore, TX)","6-2",302,85,88,9,12,"TX","DT",2020,"houston","Commit",2
"Ugonna Nnanna","Seguin (Arlington, TX)","6-4",265,84,NA,110,172,"TX","OT",2020,"houston","Commit",3
"D'Anthony Jones","Long Beach City College (Long Beach, CA)","6-2",255,84,101,7,23,"CA","OLB",2020,"houston","Commit",3
"Theron Stroops","Lancaster (Lancaster, TX)","6-0",175,83,NA,143,207,"TX","CB",2020,"houston","Commit",2
"Darius Edmonds","Atascocita (Humble, TX)","6-4",205,83,NA,73,217,"TX","WR",2020,"houston","Commit",2
"Trevonte Sylvester","Breaux Bridge (Breaux Bridge, LA)","6-5",230,82,NA,98,79,"LA","SDE",2020,"houston","Commit",3
"Nathaniel Dell","Independence C.C. (Independence, KS)","5-10",155,82,173,24,47,"KS","WR",2020,"houston","Commit",3
"Reuben Unije","Coahoma C.C. (Clarksdale, MS)","6-5",303,82,190,21,35,"MS","OT",2020,"houston","Commit",3
"Jayce Rogers","Northwest Mississippi C.C. (Senatobia, MS)","5-8",165,81,201,26,38,"MS","CB",2020,"houston","Commit",1
"Malik Robinson","Fort Scott C.C. (Fort Scott, KS)","6-0",215,80,240,12,63,"KS","OLB",2020,"houston","Commit",2
"Mike Welch","Dickinson (Dickinson, TX)","5-10",170,80,NA,216,326,"TX","S",2020,"houston","Commit",2
"James Faminu","London Academy (London, EN)","6-6",343,78,NA,262,1,"EN","OT",2020,"houston","Commit",1
"JoVanni Stewart",NA,"5-10",190,84,NA,NA,NA,NA,"S",2020,"houston","Transfer",3
"Alton McCaskill","Oak Ridge (Conroe, TX)","6-1",200,89,NA,28,60,"TX","RB",2021,"houston","Commit",1
"Mark Wilson","Clear Lake (Houston, TX)","6-0",170,88,NA,48,81,"TX","CB",2021,"houston","Commit",1
"Garfield Lawrence","Tyler Legacy (Tyler, TX)","6-4",240,87,NA,83,108,"TX","DL",2021,"houston","Commit",2
"Carlton Guidry","Shadow Creek (Pearland, TX)","5-10",160,87,NA,118,118,"TX","WR",2021,"houston","Commit",2
"Carson Walker","Heritage (Midlothian, TX)","6-4",285,85,NA,68,168,"TX","IOL",2021,"houston","Commit",3
"Maddox Kopp","St. Thomas (Houston, TX)","6-5",210,85,NA,76,188,"TX","PRO",2021,"houston","Commit",3
"Jalen Garner","Norcross (Norcross, GA)","6-0",200,85,NA,132,107,"GA","LB",2021,"houston","Commit",3
"Jalen Emery","Shadow Creek (Pearland, TX)","5-11",168,83,NA,141,248,"TX","CB",2021,"houston","Commit",4
"Josh Atkins","Mansfield Timberview (Arlington, TX)","6-4",290,83,NA,136,250,"TX","OT",2021,"houston","Commit",4
"Antonio Brooks","Kilgore College (Kilgore, TX)","5-10",200,83,61,5,2,"TX","CB",2021,"houston","Commit",4
"Brian Merritt","Mississippi Gulf Coast C.C. (Perkinston, MS)","6-0",290,82,70,15,18,"MS","DT",2021,"houston","Commit",3
"Demarcus Griffin-Taylor","Independence C.C. (Independence, KS)","5-9",170,82,73,9,18,"KS","CB",2021,"houston","Commit",3
"Almarion Crim","Minor  (Adamsville, AL)","6-3",285,80,NA,186,95,"AL","OT",2021,"houston","Commit",2
"Matt Byrnes","Iowa Western C.C. (Council Bluffs, IA)","6-5",240,80,104,4,11,"IA","TE",2021,"houston","Commit",2
