"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Willie Harts","Pittsburg (Pittsburg, CA)","6-0",170,86,NA,80,101,"CA","ATH",2019,"arizona-state","Commit",3
"Connor Soelle","Saguaro (Scottsdale, AZ)","6-1",195,86,NA,78,15,"AZ","ATH",2019,"arizona-state","Commit",3
"Jordan Kerley","McNeil (Austin, TX)","6-1",190,85,NA,125,139,"TX","WR",2019,"arizona-state","Commit",4
"Joey Yellen","Mission Viejo (Mission Viejo, CA)","6-2.5",211,85,NA,29,117,"CA","PRO",2019,"arizona-state","Commit",4
"Ethan Long","West Linn (West Linn, OR)","6-2",212,85,NA,34,5,"OR","PRO",2019,"arizona-state","Commit",4
"Brandon Pierce","College of the Canyons (Valencia, CA)","5-11",175,85,94,12,24,"CA","WR",2019,"arizona-state","Commit",4
"Alijah Bates","Doherty (Colorado Springs, CO)","6-8",235,84,NA,113,13,"CO","OT",2019,"arizona-state","Commit",2
"Elijah Juarez","Long Beach Poly (Long Beach, CA)","6-2",215,84,NA,107,155,"CA","OLB",2019,"arizona-state","Commit",2
"Ricky Pearsall","Corona del Sol (Tempe, AZ)","6-1.5",195,83,NA,182,20,"AZ","WR",2019,"arizona-state","Commit",3
"Anthonie Cooper","Millennium (Goodyear, AZ)","6-3",275,83,NA,94,21,"AZ","SDE",2019,"arizona-state","Commit",3
"Roman DeWys","Basha (Chandler, AZ)","6-5",280,83,NA,125,23,"AZ","OT",2019,"arizona-state","Commit",3
"Andre Johnson","Tolleson Union (Tolleson, AZ)","6-3",185,82,NA,207,36,"AZ","WR",2019,"arizona-state","Commit",2
"Ben Scott","St. Louis (Honolulu, HI)","6-5",290,82,NA,142,17,"HI","OT",2019,"arizona-state","Commit",2
"Tautala Pesefea Jr.","American River C.C. (Sacramento, CA)","6-4",304,87,NA,NA,NA,"CA","DT",2019,"arizona-state","Commit",3
"LV Bunkley-Shelton","Junipero Serra (Gardena, CA)","6-0",180,94,153,25,12,"CA","WR",2020,"arizona-state","Commit",1
"Elijhah Badger","Folsom (Folsom, CA)","6-2",195,93,182,6,14,"CA","WR",2020,"arizona-state","Commit",2
"Daniyel Ngata","Folsom (Folsom, CA)","5-9",180,93,188,4,16,"CA","RB",2020,"arizona-state","Commit",2
"Johnny Wilson","Calabasas (Calabasas, CA)","6-6",224,92,201,36,18,"CA","WR",2020,"arizona-state","Commit",2
